"id_user","location_latitude","location_longitude"
309537,NULL,NULL
388973,33.6306,-84.3592
389211,33.6252,-84.6216
389296,33.9655,-83.9927
390008,34.0285,-85.0647
395857,34.0771,-83.9554
395858,34.1490,-84.1800
395938,33.7351,-84.4169
395943,33.5874,-84.1562
395948,33.8405,-84.0454
395950,33.6392,-84.6102
395951,33.5373,-84.0787
395953,33.9207,-84.5536
395955,33.8636,-83.9192
395958,33.5483,-84.5343
401895,33.6939,-84.4624
402486,33.5926,-85.0366
402911,34.8017,-84.9564
409713,33.8104,-84.1935
410463,33.7518,-84.8900
411682,33.3832,-84.8110
412816,33.6850,-84.4472
412839,34.7682,-84.4672
413078,33.4182,-84.2898
413105,33.7778,-84.0937
413190,33.6506,-84.6237
413816,33.7018,-84.1524
413948,34.0389,-83.9400
414650,33.5769,-83.9338
415047,33.7372,-84.4616
415527,33.7468,-84.2429
419348,33.9526,-84.1487
419407,34.3883,-83.0317
421974,33.7495,-84.4103
422886,33.8405,-84.0454
423279,33.7934,-84.1370
426652,33.9203,-84.0573
427609,33.5402,-84.0685
430926,33.8107,-83.9655
431942,33.6022,-84.2723
435593,33.7782,-84.5645
439424,33.4404,-84.3293
439998,33.7699,-84.6348
443368,33.5585,-84.6178
444418,33.8405,-84.0454
445157,NULL,NULL
445161,33.4949,-81.9797
445555,33.7082,-84.1909
446301,33.8788,-84.0342
446672,33.7212,-84.0662
447679,33.7390,-84.6898
448138,33.7814,-84.1605
448144,33.4220,-84.1949
448184,33.8107,-84.0622
448185,34.1455,-83.5778
449816,33.5419,-84.0836
450434,32.4619,-84.9571
451731,31.6087,-84.1699
451983,33.8770,-84.6994
452011,34.7466,-84.9505
453422,33.2052,-84.2414
454537,33.7193,-84.4552
454548,33.5361,-84.3826
454913,33.9947,-84.1603
454915,33.4110,-85.1194
454916,34.0513,-84.6993
454917,33.8693,-83.9851
454918,34.2933,-85.2405
455582,34.2695,-85.2376
456488,33.9561,-84.0910
457981,33.8082,-84.1702
458132,33.6902,-84.0271
458133,33.6811,-84.4937
458212,33.9306,-84.0811
458640,33.7171,-84.3917
459199,33.7155,-84.5509
459688,33.6218,-84.6532
460321,34.3339,-85.0916
460435,33.4605,-84.3763
460536,33.9440,-84.1535
461054,33.7858,-84.6444
461083,34.5882,-84.8901
461466,33.5215,-84.3538
462399,33.7901,-83.9883
462400,33.5417,-84.1188
462872,33.8970,-84.6268
463149,33.6965,-84.7774
463521,33.8132,-83.9547
463695,34.0404,-83.8675
464211,34.0067,-84.1750
465174,33.8602,-84.5141
465273,33.7973,-84.6718
465380,33.8726,-84.4914
465391,34.1895,-84.7775
465642,33.5214,-84.3664
