"id_ride","code","date_reservation","date_expiration","price_total","date_pickup","date_pickup_local","id_rider","id_driver","amount_riders","default_pickup_latitude","default_pickup_longitude","default_dropoff_latitude","default_dropoff_longitude","default_distance_p_to_d","default_duration_p_to_d"
861682,"completed","2024-02-12 18:53:58.045483","2024-02-22 13:28:00.000000",30.04,"2024-02-23 13:28:00.000000","2024-02-23 08:28:00.000000",473290,475583,1,33.774879,-84.005522,33.963706,-84.034112,16.21,1920
861684,"completed","2024-02-12 18:54:03.483606","2024-02-22 19:00:00.000000",29.84,"2024-02-23 19:00:00.000000","2024-02-23 14:00:00.000000",473290,475583,1,33.963706,-84.034112,33.774879,-84.005522,16.08,2160
861851,"canceled_by_rider","2024-02-12 21:09:48.428008","2024-02-23 14:45:01.719036",26.21,"2024-02-24 14:45:00.000000","2024-02-24 09:45:00.000000",450856,NULL,1,33.809253,-83.709176,33.975941,-83.740784,13.76,1800
861852,"canceled_by_rider","2024-02-12 21:09:49.381488","2024-02-23 14:45:03.017006",26.21,"2024-02-24 18:45:00.000000","2024-02-24 13:45:00.000000",450856,NULL,1,33.975941,-83.740784,33.809253,-83.709176,13.76,1800
862038,"canceled_by_rider","2024-02-13 14:54:08.006206","2024-02-21 16:48:49.834494",84.37,"2024-02-22 10:00:00.000000","2024-02-22 05:00:00.000000",414334,NULL,2,35.04804,-85.29275,34.469924,-84.924141,51.04,3420
862377,"canceled_by_rider","2024-02-13 17:23:47.772949","2024-02-21 13:02:06.503665",27.05,"2024-02-22 13:00:00.000000","2024-02-22 08:00:00.000000",456634,NULL,1,33.706073,-85.192178,33.567573,-85.04638,14.3,1800
862378,"canceled_by_rider","2024-02-13 17:23:50.270966","2024-02-21 13:02:07.823021",27.2,"2024-02-22 19:00:00.000000","2024-02-22 14:00:00.000000",456634,NULL,1,33.567573,-85.04638,33.706073,-85.192178,14.39,1800
863132,"canceled_by_rider","2024-02-14 15:44:12.270177","2024-02-27 15:01:24.485492",34.28,"2024-02-28 15:00:00.000000","2024-02-28 10:00:00.000000",401228,NULL,1,34.44306,-84.434719,34.226071,-84.460638,18.93,1800
863133,"canceled_by_rider","2024-02-14 15:44:14.904933","2024-02-27 15:01:25.389220",35.82,"2024-02-28 17:30:00.000000","2024-02-28 12:30:00.000000",401228,NULL,1,34.226071,-84.460638,34.44306,-84.434719,19.92,1800
863142,"canceled_by_rider","2024-02-14 15:44:39.055962","2024-02-27 13:23:57.617647",35.52,"2024-02-28 13:23:00.000000","2024-02-28 08:23:00.000000",413259,NULL,1,34.950642,-85.290573,34.70073,-85.269657,19.72,2220
863144,"canceled_by_rider","2024-02-14 15:44:41.698743","2024-02-27 13:23:58.364494",35.53,"2024-02-28 20:00:00.000000","2024-02-28 15:00:00.000000",413259,NULL,1,34.70073,-85.269657,34.950642,-85.290573,19.73,2100
863369,"rider_no_show","2024-02-14 16:59:19.483878","2024-02-27 14:47:00.000000",49.02,"2024-02-28 14:47:00.000000","2024-02-28 09:47:00.000000",403021,448185,1,34.5898,-83.322315,34.287073,-83.112523,28.38,2580
863370,"rider_no_show","2024-02-14 16:59:22.691166","2024-02-27 17:30:00.000000",21.94,"2024-02-28 17:30:00.000000","2024-02-28 12:30:00.000000",403021,448185,1,34.287073,-83.112523,34.368413,-83.241047,11.02,1800
